"id","code","name"
activity_154201,154201,ELABORACIÓN  Y VENTA DE AZÚCAR Y PRODUCTOS DERIVADOS DE LA CAÑA DE AZÚCAR
activity_154301,154301,ELABORACION DE CACAO
activity_154302,154302,ELABORACIÓN DE CHOCOLATE
activity_154303,154303,"ELABORACION DE DULCES, GOLOSINAS Y CONSERVAS EN AZUCAR"
activity_154401,154401,"ELABORACIÓN DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINÁCEOS SIMILARES"
activity_154402,154402,"ELABORACIÓN DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINÁCEOS SIMILARES INCLUIDOS EN CANASTA BÁSICA"
activity_154902,154902,FABRICACION DE PRODUCTOS ALIMENTICIOS PREPARADOS N.C.P. (NO CONTEMPLADOS EN OTRA
activity_154903,154903,FABRICACIóN DE HIELO
activity_154904,154904,"FABRICACIóN DE CAFÉ (EXCEPTO EL ENVASADO, ENLATADO, SOLUBLEY EL DESCAFEINADO)"
activity_154905,154905,ELABORACION DE PRODUCTOS DE MAIZ EXENTOS DE IVA
activity_154908,154908,ELABORACION DE PRODUCTOS DE MAIZ GRAVADOS CON IVA
activity_155101,155101,ELABORAC. RECTIFICAC MEZCLA BEBIDAS ALCOHOLICAS/PROD. DE ALCOHOL ETÍLICO (SUSTAN
activity_155103,155103,ELABORACION DE BEBIDAS CON PORCENTAJE DE ALCOHOL POR VOLUMEN MENOR AL 15%.
activity_155301,155301,ELABORACION DE BEBIDAS MALTEADAS Y DE MALTA NO ARTESANALES
activity_155302,155302,ELABORACION ARTESANAL DE BEBIDAS MALTEADAS Y DE MALTA.
activity_155403,155403,ELABORACION DE BEBIDAS NO ALCOHOLICAS / GASEOSAS / AGUA MINERAL Y DE MANANTIAL
activity_155404,155404,ELABORACION DE CONCENTRADO PARA BEBIDAS NATURALES Y GASEOSAS
activity_160001,160001,ELABORACION DE PRODUCTOS DE TABACO
activity_171101,171101,FABRICACION DE TODO TIPO DE TELAS Y/O HILOS
activity_171201,171201,MAQUILA DE PRODUCTOS TEXTILES
activity_171202,171202,HIDROFUGADO/IMPERMEABILIZADO
activity_172101,172101,"FABRICACION DE ARTICULOS CONFECCIONADOS DE MATERIALES TEXTILES, EXEPTO PRENDAS D"
activity_172103,172103,DISEÑO ARTISTICO PARA COSTURA (MOLDES)
activity_172201,172201,FABRICACION DE TAPICES Y ALFOMBRAS
activity_172301,172301,"FABRICACION DE CUERDAS, CORDELES,BRAMANTES Y REDES"
activity_172302,172302,FABRICACION DE HILOS Y CUERDAS PARA USO AGRICOLA Y PESCA
activity_172902,172902,SERVICIO DE BORDADO A MANO O A MAQUINA
activity_173001,173001,FABRICACION DE TEJDOS Y ARTICULOS DE PUNTO Y GANCHILLO
